time;RiseOfVklads;Доходность ОФЗ по сроку до 1 года;Ключевая ставка;Ставка по вкладам в долларах до 1 года;StavkaVRub;Нефть марки Юралс, долл./барр;Индекс потребительских цен, ед.;М0, руб;М2, руб;Курс доллара к рублю, руб;Номинальная средняя з/п, руб
01.09.2013;5070;6,1;5,5;2,4;5,4;112;122,8;7726800;28353;33;29346
01.10.2013;95648;6,1;5,5;2,2;5,1;109;123,5;7755600;28276;32;30069
01.11.2013;142125;6,2;5,5;2,1;5;108;124,2;7884600;28873;33;30290
01.12.2013;764180;6,2;5,5;2,3;5,1;111;124,8;8598200;31156;33;39648
01.01.2014;-567448;6,2;5,5;2;5,3;108;125,6;7959300;29861;33;29535
01.02.2014;77197;6,4;5,5;1,8;5,1;109;126,5;7994300;30169;35;29255
01.03.2014;-303341;7,4;7;1,7;5,1;107;127,7;7917500;29519;36;31486
01.04.2014;300439;7,4;7,5;1,9;5,2;108;128,9;8168400;29879;36;32947
01.05.2014;8596;7,9;7,5;1,8;5,2;110;130,1;8040700;29891;35;32272
01.06.2014;183236;7,9;7,5;1,8;5,3;112;130,9;8069400;30073;34;33726
01.07.2014;96407;8,3;8;1,6;5,5;107;131,5;8149400;30178;35;32515
01.08.2014;133248;8,6;8;1,8;5,6;102;131,8;8276500;30339;36;30763
01.09.2014;-52627;8,7;8;1,6;5,7;97;132,7;8242500;30298;38;31929
01.10.2014;-47208;9;8;2;6;87;133,8;8298500;29831;41;32439
01.11.2014;-45024;9,9;9,5;2,3;6,2;78;135,5;8227200;30142;46;32546
01.12.2014;-77472;13,5;17;5,2;12,3;62;139;9139800;31616;55;42136
01.01.2015;-187272;15,1;17;5,2;12,3;48;144,4;8047500;31034;62;30929
01.02.2015;369176;13,1;15;5,2;11,2;58;147,6;8003000;31225;65;31325
01.03.2015;186618;12,8;14;5,2;11,2;56;149,4;7815500;31029;60;32642
01.04.2015;434065;11,6;14;4;9;59;150,1;7991900;31719;53;34377
01.05.2015;68827;10,4;12,5;3,5;8,9;65;150,6;7830200;31842;51;34380
01.06.2015;231858;10,6;11,5;2,7;9,4;62;150,9;7933000;31958;55;35395
01.07.2015;185049;10,2;11,5;2,2;8,7;56;152,1;8013700;32094;57;33901
01.08.2015;7104;10,6;11;2;8,4;47;152,6;8060500;32384;65;32176
01.09.2015;75169;11;11;1,9;8,5;47;153,5;7931200;32074;67;32911
01.10.2015;120663;10,4;11;1,7;6,9;48;154,6;7947900;32170;63;33357
01.11.2015;165837;10,3;11;1,7;7,5;44;155,8;7942500;32754;65;33347
01.12.2015;1034556;10,5;11;1,7;8,4;38;157;8745900;35180;70;43408
01.01.2016;-454791;10,3;11;1,6;8,2;31;158,5;8197700;33967;76;32660
01.02.2016;269297;9,9;11;1,6;7,7;33;159,5;8282800;34310;77;33873
01.03.2016;147971;9,5;11;1,6;7,5;39;160,2;8224700;34689;70;35501
01.04.2016;379759;9,7;11;1,3;7,7;42;160,9;8482400;35106;67;36497
01.05.2016;131129;9,5;11;1,2;7;47;161,6;8371900;35643;66;37270
01.06.2016;260591;9,8;10,5;1;6,9;48;162,2;8471900;35857;65;38447
01.07.2016;98589;9,6;10,5;0,9;6,8;45;163;8555200;36032;64;35888
01.08.2016;92168;9,3;10,5;0,9;6,8;46;163;8517600;36170;65;35405
01.09.2016;20272;9;10;0,8;6;46;163,3;8557800;36149;65;35843
01.10.2016;72037;9;10;0,7;6;50;164;8459500;36051;63;35749
01.11.2016;172323;8,9;10;0,7;6,6;46;164,8;8425200;36433;64;36195
01.12.2016;889085;8,7;10;0,8;6,5;54;165,4;9076100;38418;62;47554
01.01.2017;;8,4;10;0,8;6,5;55;166,4;8628900;38017;60;34422
01.02.2017;;8,8;10;0,8;6,3;55;166,8;8711600;38475;58;35497
01.03.2017;;9;9,8;0,8;5,9;52;167;8697700;38555;58;37899
01.04.2017;;8,7;9,8;0,5;6,3;53;167,6;8936600;38664;56;39225
01.05.2017;;8,3;9,3;0,8;6,1;51;168,2;8907000;39223;57;39679
01.06.2017;;8;9;0,7;5,7;47;169,2;9066500;39623;58;41454
01.07.2017;;8,1;9;0,7;6,1;49;169,3;9174300;39276;60;38073
01.08.2017;;7,9;9;0,7;6,1;52;168,4;9194600;39419;60;37099
01.09.2017;;7,6;8,5;0,7;5,3;57;168,2;9225200;39571;58;38047
01.10.2017;;7,5;8,3;0,6;5,7;58;168,5;9246600;39566;58;38333
01.11.2017;;7,4;8,3;0,6;5,2;63;168,9;9281212;40102;59;38848
01.12.2017;;7;7,8;0,7;5,3;65;169,6;9974472;42372;59;50500
